Bits,Source,Template,Solver,Safe,Unknown,Timeout
64bits_unsigned,2018.SV-Comp,bv_poly,z3,4,39,0
64bits_unsigned,2018.SV-Comp,bv_poly,q3b,6,37,0
64bits_unsigned,2018.SV-Comp,bv_zone,cegisyices,9,33,1
64bits_unsigned,2018.SV-Comp,bv_zone,z3,8,35,0
64bits_unsigned,2018.SV-Comp,bv_zone,q3b,8,35,0
64bits_unsigned,2018.SV-Comp,bv_octagon,cegisyices,9,26,8
64bits_unsigned,2018.SV-Comp,bv_octagon,z3,10,33,0
64bits_unsigned,2018.SV-Comp,bv_octagon,q3b,6,37,0
64bits_unsigned,2017.ASE_FiB,bv_zone,cegisyices,5,24,3
64bits_unsigned,2017.ASE_FiB,bv_zone,z3,4,28,0
64bits_unsigned,2017.ASE_FiB,bv_zone,q3b,5,27,0
64bits_unsigned,2017.ASE_FiB,bv_interval,cegisyices,3,24,5
64bits_unsigned,2017.ASE_FiB,bv_interval,z3,7,25,0
64bits_unsigned,2017.ASE_FiB,bv_interval,q3b,3,29,0
64bits_unsigned,2017.ASE_FiB,bv_poly,cegisyices,6,17,9
64bits_unsigned,2017.ASE_FiB,bv_poly,z3,5,27,0
64bits_unsigned,2017.ASE_FiB,bv_poly,q3b,3,29,0
64bits_unsigned,2017.ASE_FiB,bv_octagon,cegisyices,2,20,10
64bits_unsigned,2017.ASE_FiB,bv_octagon,z3,2,30,0
64bits_unsigned,2017.ASE_FiB,bv_octagon,q3b,1,31,0
64bits_unsigned,2018.CHI_InvGame,bv_interval,cegisyices,0,4,1
64bits_unsigned,2018.CHI_InvGame,bv_interval,z3,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_interval,q3b,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_poly,cegisyices,0,2,3
64bits_unsigned,2018.CHI_InvGame,bv_poly,z3,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_poly,q3b,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_octagon,cegisyices,0,4,1
64bits_unsigned,2018.CHI_InvGame,bv_octagon,z3,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_octagon,q3b,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_zone,cegisyices,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_zone,z3,0,5,0
64bits_unsigned,2018.CHI_InvGame,bv_zone,q3b,0,5,0
64bits_unsigned,2016.SyGuS-Comp,bv_interval,cegisyices,11,51,5
64bits_unsigned,2016.SyGuS-Comp,bv_interval,z3,12,55,0
64bits_unsigned,2016.SyGuS-Comp,bv_interval,q3b,12,55,0
64bits_unsigned,2016.SyGuS-Comp,bv_zone,cegisyices,14,49,4
64bits_unsigned,2016.SyGuS-Comp,bv_zone,z3,11,56,0
64bits_unsigned,2016.SyGuS-Comp,bv_zone,q3b,14,53,0
64bits_unsigned,2016.SyGuS-Comp,bv_poly,cegisyices,9,41,17
64bits_unsigned,2016.SyGuS-Comp,bv_poly,z3,3,64,0
64bits_unsigned,2016.SyGuS-Comp,bv_poly,q3b,5,62,0
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,cegisyices,11,40,16
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,z3,11,56,0
64bits_unsigned,2016.SyGuS-Comp,bv_octagon,q3b,12,55,0
